H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202603,二次調整力1,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260314B05,落札量合計（電源属地別）[MW],11.292,68,331,94.001,74,34.581,157.86,78,302,1150.734
20260314B05,応札件数（電源属地別）[件],1,3,15,11,1,1,6,4,7,49
20260314B05,落札件数（電源属地別）[件],1,3,15,4,1,1,6,4,7,42
20260314B05,最高落札価格（電源属地別）[円/kW・30分],4.1,2.14,1.47,2.09,2.21,0.82,12.31,10.67,6.49,12.31
20260314B05,最低落札価格（電源属地別）[円/kW・30分],4.1,1.31,0.85,0.93,2.21,0.82,1.36,0.65,4.29,0.65
20260314B05,平均落札価格（電源属地別）[円/kW・30分],4.1,1.73,1.23,1.21,2.21,0.82,6.06,6.17,5.25,3.39
20260314B05,最高落札価格（TSO別）[円/kW・30分],4.1,2.14,1.47,2.09,2.21,0.82,12.31,10.67,6.49,12.31
20260314B05,最低落札価格（TSO別）[円/kW・30分],4.1,1.31,0.85,0.93,2.21,0.82,1.36,0.65,4.29,0.65
20260314B05,平均落札価格（TSO別）[円/kW・30分],4.1,1.73,1.23,1.21,2.21,0.82,6.06,6.17,5.25,3.39
20260314B05,落札量合計（TSO別）[MW],11.292,68,331,94.001,74,34.581,157.86,78,302,1150.734
20260314B05,（内訳）自エリアからの落札量[MW],11.292,68,331,94.001,74,34.581,157.86,78,302,1150.734
20260314B06,募集量（TSO別）[MW],11,185,331,0,49,235,116,38,138,1103
20260314B06,応札量合計（電源属地別）[MW],25,68,378.255,340.284,9.156,34.581,157.86,83,316,1412.136
20260314B06,落札量合計（電源属地別）[MW],12.292,68,331,107.32,9.156,34.581,157.86,69,306,1095.209
20260314B06,応札件数（電源属地別）[件],1,3,14,10,1,1,6,4,7,47
20260314B06,落札件数（電源属地別）[件],1,3,14,4,1,1,6,3,7,40
20260314B06,最高落札価格（電源属地別）[円/kW・30分],4.1,2.14,1.53,2.34,2.21,0.86,12.42,4.77,6.37,12.42
20260314B06,最低落札価格（電源属地別）[円/kW・30分],4.1,1.31,0.9,0.8,2.21,0.86,1.24,0.35,4.17,0.35
20260314B06,平均落札価格（電源属地別）[円/kW・30分],4.1,1.73,1.22,0.87,2.21,0.86,6.09,2.59,5.12,3.13
20260314B06,最高落札価格（TSO別）[円/kW・30分],4.1,2.14,1.53,2.34,2.21,0.86,12.42,4.77,6.37,12.42
20260314B06,最低落札価格（TSO別）[円/kW・30分],4.1,1.31,0.9,0.8,2.21,0.86,1.24,0.35,4.17,0.35
20260314B06,平均落札価格（TSO別）[円/kW・30分],4.1,1.73,1.22,0.87,2.21,0.86,6.09,2.59,5.12,3.13
