H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202601,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260101B05,応札量合計（電源属地別）[MW],273,286.52,220.115,7.718,204,1235.973,286.066,297.93,520.17,3331.492
20260101B05,落札量合計（電源属地別）[MW],51,286.52,78.415,0,204,417.986,201.087,216.93,330.17,1786.108
20260101B05,応札件数（電源属地別）[件],6,4,31,4,2,9,7,4,10,77
20260101B05,落札件数（電源属地別）[件],3,4,29,0,2,8,7,4,10,67
20260101B05,最高落札価格（電源属地別）[円/kW・30分],5.11,19.51,19.51,0,0.35,19.51,19.51,19.5,19.51,19.51
20260101B05,最低落札価格（電源属地別）[円/kW・30分],2.9,1.43,0.36,0,0.35,0.36,0.36,0.36,0.36,0.35
20260101B05,平均落札価格（電源属地別）[円/kW・30分],4.61,2.68,11.25,0,0.35,5.38,0.63,1.82,1.03,2.84
20260101B05,最高落札価格（TSO別）[円/kW・30分],5.11,19.51,19.51,0,0.35,19.51,19.51,19.5,19.51,19.51
20260101B05,最低落札価格（TSO別）[円/kW・30分],2.9,1.43,0.36,0,0.35,0.35,0.36,0.36,0.36,0.35
20260101B05,平均落札価格（TSO別）[円/kW・30分],4.61,3.69,5,0,0.35,6.58,0.65,1.65,0.96,2.84
20260101B05,落札量合計（TSO別）[MW],51,132.52,232.415,0,195,335.273,224.8,249.93,365.17,1786.108
20260101B05,（内訳）自エリアからの落札量[MW],51,132.52,78.415,0,195,326.273,166.087,216.93,330.17,1496.395
20260101B06,募集量（TSO別）[MW],68,610,637,534,143,552,344,190,388,3466
20260101B06,応札量合計（電源属地別）[MW],296.99,858.02,1357.108,461.208,143,1239.931,336.871,216.93,520.17,5430.228
20260101B06,落札量合計（電源属地別）[MW],68,856.52,327.415,94.708,143,526.389,291.01,216.93,268.17,2792.142
20260101B06,応札件数（電源属地別）[件],6,8,40,7,1,11,7,6,10,96
20260101B06,落札件数（電源属地別）[件],3,7,32,6,1,10,7,6,9,81
20260101B06,最高落札価格（電源属地別）[円/kW・30分],10,19.51,19.51,19.51,0.77,19.51,19.51,19.5,19.51,19.51
20260101B06,最低落札価格（電源属地別）[円/kW・30分],3.91,1.43,0.36,1.89,0.77,0.57,0.36,0.36,0.36,0.36
20260101B06,平均落札価格（電源属地別）[円/kW・30分],6.69,2.72,3.25,3.69,0.77,4.27,0.83,1.32,1.16,2.65
20260101B06,最高落札価格（TSO別）[円/kW・30分],10,19.51,19.51,19.51,0.77,19.51,19.51,19.5,19.51,19.51
20260101B06,最低落札価格（TSO別）[円/kW・30分],3.91,1.43,0.36,1.89,0.77,0.36,0.36,0.36,0.36,0.36
20260101B06,平均落札価格（TSO別）[円/kW・30分],6.69,2.66,3.18,3.69,0.77,4.24,0.97,1.49,1.23,2.65
20260101B06,落札量合計（TSO別）[MW],68,718.52,465.415,94.708,140,503.518,326.881,188.93,286.17,2792.142
20260101B06,（内訳）自エリアからの落札量[MW],68,718.52,327.415,94.708,140,420.963,270.455,157.93,268.17,2466.161
20260101B07,募集量（TSO別）[MW],38,381,464,278,124,428,349,102,249,2413
20260101B07,応札量合計（電源属地別）[MW],282.74,406.52,1840.573,901.543,124,1239.931,335.871,113.93,559.73,5804.838
20260101B07,落札量合計（電源属地別）[MW],38,406.52,1022.419,468.717,124,442.967,274.432,113.93,187.362,3078.347
20260101B07,応札件数（電源属地別）[件],6,5,46,10,1,11,6,7,11,103
20260101B07,落札件数（電源属地別）[件],2,5,38,9,1,10,6,7,9,87
20260101B07,最高落札価格（電源属地別）[円/kW・30分],7.99,19.51,19.51,19.51,1.39,19.51,19.49,19,19.51,19.51
20260101B07,最低落札価格（電源属地別）[円/kW・30分],3.17,1.43,0.36,2.67,1.39,0.78,0.7,0.36,0.36,0.36
20260101B07,平均落札価格（電源属地別）[円/kW・30分],4.06,3.36,3.04,3.14,1.39,4.73,1.68,1.74,1.57,3.03
20260101B07,最高落札価格（TSO別）[円/kW・30分],7.99,19.51,19.51,19.51,1.39,19.51,19.49,19,19.51,19.51
20260101B07,最低落札価格（TSO別）[円/kW・30分],3.17,1.43,0.36,2.67,1.39,0.78,0.7,0.36,0.36,0.36
20260101B07,平均落札価格（TSO別）[円/kW・30分],4.06,3.31,3.05,3.14,1.39,4.84,1.7,1.3,1.8,3.03
20260101B07,落札量合計（TSO別）[MW],38,428.52,1000.419,468.717,112,423.231,282.8,94.93,229.73,3078.347
20260101B07,（内訳）自エリアからの落札量[MW],38,406.52,1000.419,468.717,112,419.254,274.432,84.93,187.362,2991.634
20260101B08,募集量（TSO別）[MW],47,152,398,231,125,303,232,93,256,1837
20260101B08,応札量合計（電源属地別）[MW],295.89,216.52,915.425,495.707,125,1239.931,335.871,103,481.418,4208.762
20260101B08,落札量合計（電源属地別）[MW],47,216.52,730.023,476.707,125,360.144,169.901,62,155.418,2342.713
20260101B08,応札件数（電源属地別）[件],7,4,26,11,1,11,6,5,8,79
20260101B08,落札件数（電源属地別）[件],3,4,24,10,1,10,5,4,7,68
20260101B08,最高落札価格（電源属地別）[円/kW・30分],9.99,19.51,19.51,19.51,0.8,19.51,19.49,6.79,19.51,19.51
20260101B08,最低落札価格（電源属地別）[円/kW・30分],3.64,1.43,0.36,2.42,0.8,0.36,0.4,0.38,0.36,0.36
20260101B08,平均落札価格（電源属地別）[円/kW・30分],5.76,4.06,2.6,2.99,0.8,5.55,1.15,1.98,1.21,3.02
20260101B08,最高落札価格（TSO別）[円/kW・30分],9.99,19.51,19.51,19.51,0.8,19.51,19.49,8.95,19.51,19.51
20260101B08,最低落札価格（TSO別）[円/kW・30分],3.64,1.43,0.36,2.42,0.8,0.36,0.4,0.38,0.36,0.36
20260101B08,平均落札価格（TSO別）[円/kW・30分],5.76,4.06,2.6,3,0.8,5.34,1.12,2.67,1.69,3.02
20260101B08,落札量合計（TSO別）[MW],47,216.52,730.023,464.927,108,338.944,158.881,93,185.418,2342.713
20260101B08,（内訳）自エリアからの落札量[MW],47,216.52,730.023,464.927,108,338.944,155.881,59,155.418,2275.713
20260102B01,募集量（TSO別）[MW],24,237,283,11,81,216,212,76,227,1367
20260102B01,応札量合計（電源属地別）[MW],266.75,395.85,127.349,3.919,81,994.2,334.071,87.93,483.342,2774.411
20260102B01,落札量合計（電源属地別）[MW],24,395.85,60.549,3.919,81,304.416,137.345,61.93,65.342,1134.351
20260102B01,応札件数（電源属地別）[件],5,4,19,2,1,5,5,6,9,56
20260102B01,落札件数（電源属地別）[件],3,4,18,2,1,5,4,5,7,49
20260102B01,最高落札価格（電源属地別）[円/kW・30分],4.5,19.51,19.51,19.51,0.65,9.39,1.08,19,19.51,19.51
20260102B01,最低落札価格（電源属地別）[円/kW・30分],1.1,2.78,0.36,19.51,0.65,0.36,0.36,0.45,0.36,0.36
20260102B01,平均落札価格（電源属地別）[円/kW・30分],3.79,3.38,9.9,19.51,0.65,5.21,0.87,2.81,2.89,3.73
20260102B01,最高落札価格（TSO別）[円/kW・30分],4.5,19.51,19.51,2.78,0.65,19.51,19,9.39,19.51,19.51
20260102B01,最低落札価格（TSO別）[円/kW・30分],1.1,2.78,0.36,2.78,0.65,0.36,0.36,0.45,0.36,0.36
20260102B01,平均落札価格（TSO別）[円/kW・30分],3.79,3.39,9.9,2.78,0.65,4.85,1.75,4.88,1.92,3.73
20260102B01,落札量合計（TSO別）[MW],24,384.85,60.549,11,81,281.375,30.235,76,185.342,1134.351
20260102B01,（内訳）自エリアからの落札量[MW],24,384.85,60.549,0,81,272.456,23.305,50,65.342,961.502
20260102B02,募集量（TSO別）[MW],23,251,240,0,78,232,213,74,245,1356
