H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202509,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250901B01,募集量（TSO別）[MW],75,86,513,0,55,177,204,111,251,1472
20250901B01,応札量合計（電源属地別）[MW],225.05,409.069,343.796,386.92,55,731.757,282.791,141,256.319,2831.702
20250901B01,落札量合計（電源属地別）[MW],14,409.069,242.126,374.879,55,191.249,86.222,99,100.913,1572.458
20250901B01,応札件数（電源属地別）[件],4,3,10,10,1,6,5,6,9,54
20250901B01,落札件数（電源属地別）[件],1,3,9,9,1,5,3,5,8,44
20250901B01,最高落札価格（電源属地別）[円/kW・30分],0.36,16.47,19.51,2.82,0.7,1.5,1.94,5.37,19.51,19.51
20250901B01,最低落札価格（電源属地別）[円/kW・30分],0.36,1.81,1.82,2.47,0.7,0.36,0.36,0.36,0.36,0.36
20250901B01,平均落札価格（電源属地別）[円/kW・30分],0.36,3.02,2.9,2.7,0.7,0.99,1.11,3.34,1.79,2.41
20250901B01,最高落札価格（TSO別）[円/kW・30分],1.81,16.47,19.51,2.81,2.75,2.56,5.37,5.3,19.51,19.51
20250901B01,最低落札価格（TSO別）[円/kW・30分],0.36,1.81,1.82,2.75,0.7,0.36,0.36,0.36,0.36,0.36
20250901B01,平均落札価格（TSO別）[円/kW・30分],1.54,3.22,3.01,2.78,1.12,1.04,2.13,2.24,2.62,2.41
20250901B01,落札量合計（TSO別）[MW],75,236.715,353.48,49.097,62.66,177,247.506,111,260,1572.458
20250901B01,（内訳）自エリアからの落札量[MW],14,236.715,242.126,49.097,48.66,160.955,82,55,100.913,989.466
20250901B02,募集量（TSO別）[MW],97,82,484,0,66,164,194,103,226,1416
20250901B02,応札量合計（電源属地別）[MW],228.94,409.069,516.148,399.92,66,685,264.795,133,231.319,2934.191
20250901B02,落札量合計（電源属地別）[MW],40,409.069,401.646,399.92,66,217.492,69.804,103,123.319,1830.25
20250901B02,応札件数（電源属地別）[件],6,3,13,7,1,5,6,6,9,56
20250901B02,落札件数（電源属地別）[件],1,3,12,7,1,5,4,5,9,47
20250901B02,最高落札価格（電源属地別）[円/kW・30分],2.14,16.47,19.51,19.51,0.45,7.29,19.49,5.35,19.51,19.51
20250901B02,最低落札価格（電源属地別）[円/kW・30分],2.14,1.66,1.9,2.6,0.45,0.36,0.36,0.36,0.36,0.36
20250901B02,平均落札価格（電源属地別）[円/kW・30分],2.14,2.86,2.63,3.99,0.45,2.87,1.47,3.26,1.58,2.84
20250901B02,最高落札価格（TSO別）[円/kW・30分],3.09,16.47,19.51,4.61,19.51,7.29,19.49,7.29,19.51,19.51
20250901B02,最低落札価格（TSO別）[円/kW・30分],1.66,1.66,1.9,2.81,0.45,0.36,0.36,0.36,0.36,0.36
20250901B02,平均落札価格（TSO別）[円/kW・30分],2.1,3.01,2.63,3.99,0.99,1.9,3.02,4.25,1.86,2.84
20250901B02,落札量合計（TSO別）[MW],103,346.069,401.646,307.738,67.92,184.49,182.068,103,134.319,1830.25
20250901B02,（内訳）自エリアからの落札量[MW],40,346.069,401.646,307.738,66,157.423,69.8,60,123.319,1571.995
20250901B03,募集量（TSO別）[MW],300,184,626,90,73,224,248,184,525,2454
20250901B03,応札量合計（電源属地別）[MW],227.04,559.069,370.798,1.92,73,885.757,264.795,214,461.543,3057.922
20250901B03,落札量合計（電源属地別）[MW],164,559.069,12.298,1.92,73,303.472,106.804,203,360.543,1784.106
20250901B03,応札件数（電源属地別）[件],5,4,10,1,1,6,6,6,11,50
