H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202510,二次調整力2,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20251001B01,システム約定結果,募集量（TSO別）[MW],54,1,0,0,21,0,0,25,0,101
20251001B01,システム約定結果,応札量合計（電源属地別）[MW],31,139,22.147,698.692,69,69,204.519,65,241,1539.358
20251001B01,システム約定結果,落札量合計（電源属地別）[MW],10,139,22.147,449.979,69,35,86.364,52,20,883.49
20251001B01,システム約定結果,応札件数（電源属地別）[件],1,2,1,13,1,1,6,4,4,33
20251001B01,システム約定結果,落札件数（電源属地別）[件],1,2,1,11,1,1,4,4,2,27
20251001B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],0.36,3.37,0.37,4.21,1.23,6.75,1.94,5.5,0.36,6.75
20251001B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],0.36,1.96,0.37,2.72,1.23,6.75,0.36,0.7,0.36,0.36
20251001B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],0.36,2.47,0.37,3.1,1.23,6.75,1.17,4.24,0.36,2.72
20251001B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],3.37,3.37,0.37,4.21,1.23,6.75,1.94,6.75,0.36,6.75
20251001B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],0.36,1.96,0.37,2.72,1.23,6.75,0.36,0.7,0.36,0.36
20251001B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],2.08,2.48,0.37,3.1,1.23,6.75,1.17,4.61,0.36,2.72
20251001B01,システム約定結果,落札量合計（TSO別）[MW],57,92,22.147,449.979,69,26,86.364,61,20,883.49
20251001B01,システム約定結果,（内訳）自エリアからの落札量[MW],10,92,22.147,449.979,69,26,86.364,52,20,827.49
20251001B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20251001B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B01,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20251001B01,合計（確報値）,募集量（TSO別）[MW],54,1,0,0,21,0,0,25,0,101
20251001B01,合計（確報値）,応札量合計（電源属地別）[MW],31,139,22.147,1148.671,69,69,204.519,65,241,1989.337
20251001B01,合計（確報値）,約定量合計（電源属地別）[MW],10,139,22.147,449.979,69,35,86.364,28,20,859.49
20251001B01,合計（確報値）,応札件数（電源属地別）[件],1,2,1,26,1,1,6,4,4,46
20251001B01,合計（確報値）,約定件数（電源属地別）[件],1,2,1,13,1,1,4,3,2,28
20251001B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],0.36,3.37,0.37,0.36,1.23,6.75,1.94,5.27,0.36,6.75
20251001B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],0.36,1.96,0.37,0.36,1.23,6.75,0.36,0.7,0.36,0.36
20251001B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],0.36,2.47,0.37,0.36,1.23,6.75,1.17,3.16,0.36,1.2
20251001B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],3.37,3.37,0.37,0.36,1.23,6.75,1.94,6.75,0.36,6.75
20251001B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],0.36,1.96,0.37,0.36,1.23,6.75,0.36,0.7,0.36,0.36
20251001B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],2.08,2.48,0.37,0.36,1.23,6.75,1.17,4.03,0.36,1.2
20251001B01,合計（確報値）,約定量合計（TSO別）[MW],57,92,22.147,449.979,69,26,86.364,37,20,859.49
20251001B01,合計（確報値）,（内訳）自エリアからの約定量[MW],10,92,22.147,449.979,69,26,86.364,28,20,803.49
20251001B02,システム約定結果,募集量（TSO別）[MW],53,115,0,0,35,0,0,32,0,235
20251001B02,システム約定結果,応札量合計（電源属地別）[MW],33.99,228,70.665,621.661,69,69,204.519,72,275,1643.835
20251001B02,システム約定結果,落札量合計（電源属地別）[MW],1,228,70.665,422.518,69,69,86.384,56,54,1056.567
20251001B02,システム約定結果,応札件数（電源属地別）[件],3,3,3,11,1,1,6,4,5,37
20251001B02,システム約定結果,落札件数（電源属地別）[件],1,3,3,10,1,1,4,4,3,30
20251001B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],5,3.01,2.4,4.96,1.06,6.36,1.94,5.55,1.31,6.36
20251001B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],5,1.35,0.53,3.13,1.06,6.36,0.36,0.63,0.36,0.36
20251001B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],5,1.82,1.81,3.77,1.06,6.36,1.19,3.27,0.96,2.83
20251001B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],5,3.01,2.4,4.96,1.06,6.36,1.94,6.36,1.31,6.36
20251001B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],1.63,1.35,0.53,3.13,1.06,6.36,0.36,0.36,0.36,0.36
20251001B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],1.69,1.88,1.81,3.77,1.06,6.36,1.19,3.36,0.96,2.83
20251001B02,システム約定結果,落札量合計（TSO別）[MW],53.25,175.75,70.665,421.538,62,62,86.364,71,54,1056.567
