H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202602,二次調整力2,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260201B02,システム約定結果,落札量合計（TSO別）[MW],22.25,70,240.97,195.464,71,404.752,193.208,37,180,1414.644
20260201B02,システム約定結果,（内訳）自エリアからの落札量[MW],22.25,70,240.97,195.464,71,404.752,193.208,30,180,1407.644
20260201B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260201B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260201B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260201B02,合計（確報値）,募集量（TSO別）[MW],2,0,0,83,27,0,75,21,0,208
20260201B02,合計（確報値）,応札量合計（電源属地別）[MW],197.24,89,240.97,241.666,71,701.404,304.51,30,352,2227.79
20260201B02,合計（確報値）,約定量合計（電源属地別）[MW],22.25,70,240.97,195.464,71,411.752,193.208,30,180,1414.644
20260201B02,合計（確報値）,応札件数（電源属地別）[件],7,1,3,4,1,6,7,2,7,38
20260201B02,合計（確報値）,約定件数（電源属地別）[件],3,1,3,4,1,6,7,2,6,33
20260201B02,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],13.78,2.46,2.37,3.91,1.51,8.18,2.47,6.56,2.09,13.78
20260201B02,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],6,2.46,1.93,2.2,1.51,0.36,0.36,1.09,0.36,0.36
20260201B02,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],12.73,2.46,2.1,2.86,1.51,5.13,1.41,3.83,1.2,3.07
20260201B02,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],13.78,2.46,2.37,3.91,1.51,8.18,2.47,8.18,2.09,13.78
20260201B02,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],6,2.46,1.93,2.2,1.51,0.36,0.36,1.09,0.36,0.36
20260201B02,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],12.73,2.46,2.1,2.86,1.51,5.07,1.41,4.65,1.2,3.07
20260201B02,合計（確報値）,約定量合計（TSO別）[MW],22.25,70,240.97,195.464,71,404.752,193.208,37,180,1414.644
