H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202510,複合商品,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20251001B02,システム約定結果,落札量合計（TSO別）[MW],56,342.069,392.94,637.165,130,243.49,186,102,67.783,2157.447
20251001B02,システム約定結果,（内訳）自エリアからの落札量[MW],3.75,342.069,122.458,637.165,77,106.757,140.445,56,63.208,1548.852
20251001B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20251001B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20251001B02,合計（確報値）,募集量（TSO別）[MW],56,390,536,0,95,184,186,102,204,1753
20251001B02,合計（確報値）,応札量合計（電源属地別）[MW],188.94,559.069,287.099,1919.92,95,119.757,432.167,132,438.508,4172.46
20251001B02,合計（確報値）,約定量合計（電源属地別）[MW],3.75,559.069,122.458,960.92,95,119.757,142.285,66,62.519,2131.758
20251001B02,合計（確報値）,応札件数（電源属地別）[件],5,4,9,53,1,2,7,5,11,97
20251001B02,合計（確報値）,約定件数（電源属地別）[件],1,4,7,42,1,2,5,3,8,73
20251001B02,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],5,16.47,19.51,19.51,1.06,6.36,19.49,5.25,19.51,19.51
20251001B02,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],5,1.35,0.36,0.36,1.06,1.5,0.36,0.63,0.36,0.36
20251001B02,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],5,2.41,1.61,0.4,1.06,4.46,1.44,3.01,3.19,1.49
20251001B02,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],5,16.47,19.51,0.36,19.51,6.36,5.25,6.36,19.51,19.51
20251001B02,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],1.63,1.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
20251001B02,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],1.86,2.24,1.86,0.36,1.07,2.1,1.57,2.21,3.51,1.49
20251001B02,合計（確報値）,約定量合計（TSO別）[MW],56,342.069,392.94,637.165,130,243.49,177,86,67.094,2131.758
20251001B02,合計（確報値）,（内訳）自エリアからの約定量[MW],3.75,342.069,122.458,637.165,77,106.757,140.445,40,62.519,1532.163
20251001B03,システム約定結果,募集量（TSO別）[MW],82,1013,935,0,135,234,292,192,337,3220
20251001B03,システム約定結果,応札量合計（電源属地別）[MW],216.29,559.069,383.349,606.92,135,211.357,432.167,222,407.132,3173.284
20251001B03,システム約定結果,落札量合計（電源属地別）[MW],114.29,559.069,383.349,606.92,135,119.757,201.173,185.455,195.132,2500.145
20251001B03,システム約定結果,応札件数（電源属地別）[件],4,4,12,7,2,3,7,5,10,54
20251001B03,システム約定結果,落札件数（電源属地別）[件],4,4,12,7,2,2,6,5,9,51
20251001B03,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.49,16.47,19.51,19.51,1.54,5.51,19.51,5.48,19.51,19.51
20251001B03,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],4.99,2.22,0.36,3.05,1.43,1.5,0.36,0.36,0.36,0.36
20251001B03,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],14.99,3.19,2.44,3.42,1.48,3.94,0.89,1.95,1.45,3.2
20251001B03,システム約定結果,最高落札価格（TSO別）[円/kW・30分],19.49,16.47,19.51,0,1.54,19.51,19.51,5.51,19.51,19.51
20251001B03,システム約定結果,最低落札価格（TSO別）[円/kW・30分],4.99,2.22,0.36,0,1.43,1.5,0.36,0.36,0.36,0.36
20251001B03,システム約定結果,平均落札価格（TSO別）[円/kW・30分],14.99,3.24,2.78,0,1.48,3.84,1.3,1.84,1.42,3.2
20251001B03,システム約定結果,落札量合計（TSO別）[MW],114.29,803.958,607.815,0,116,228.069,235.881,192,202.132,2500.145
20251001B03,システム約定結果,（内訳）自エリアからの落札量[MW],114.29,559.069,383.349,0,116,104.757,201.173,156.455,195.132,1830.225
20251001B03,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20251001B03,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B03,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251001B03,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251001B03,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
