H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202608,二次調整力2,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260801B05,最高落札価格（電源属地別）[円/kW・30分],4.49,10.54,1.12,0.85,0,0,3.47,1.8,7.2,10.54
20260801B05,最低落札価格（電源属地別）[円/kW・30分],1.01,7.34,0.39,0.59,0,0,0.39,0.38,2.62,0.38
20260801B05,平均落札価格（電源属地別）[円/kW・30分],1.57,9.43,0.85,0.77,0,0,2.07,0.45,4.39,2.87
20260801B05,最高落札価格（TSO別）[円/kW・30分],4.49,10.54,1.12,1.1,1.12,0,3.47,1.8,7.2,10.54
20260801B05,最低落札価格（TSO別）[円/kW・30分],1.01,7.34,0.39,0.59,1.1,0,0.39,0.38,2.62,0.38
20260801B05,平均落札価格（TSO別）[円/kW・30分],1.57,9.43,0.82,0.83,1.12,0,2.07,0.45,4.39,2.87
20260801B05,落札量合計（TSO別）[MW],84,270,519.327,312.077,31,0,101,82,245.826,1645.23
20260801B05,（内訳）自エリアからの落札量[MW],84,270,519.327,208.077,0,0,101,82,245.826,1510.23
20260801B06,募集量（TSO別）[MW],46,150,0,136,30,0,0,21,75,458
20260801B06,応札量合計（電源属地別）[MW],72.74,312,706.982,257.077,0,0,177.814,110,334.98,1971.593
20260801B06,落札量合計（電源属地別）[MW],72.74,255,706.982,244.341,0,0,101,82,291.55,1753.613
20260801B06,応札件数（電源属地別）[件],3,4,11,3,0,0,6,6,9,42
20260801B06,落札件数（電源属地別）[件],3,4,11,3,0,0,6,4,9,40
20260801B06,最高落札価格（電源属地別）[円/kW・30分],3,10.5,2.06,3.01,0,0,3.7,1.8,7.2,10.5
20260801B06,最低落札価格（電源属地別）[円/kW・30分],1.01,7.3,1.09,0.5,0,0,0.39,0.38,2.42,0.38
20260801B06,平均落札価格（電源属地別）[円/kW・30分],1.12,9.51,1.35,0.91,0,0,2.27,0.45,3.92,2.9
20260801B06,最高落札価格（TSO別）[円/kW・30分],7.3,10.5,2.04,3.01,1.24,0,3.7,1.8,7.2,10.5
20260801B06,最低落札価格（TSO別）[円/kW・30分],1.01,7.3,1.09,0.5,1.12,0,0.39,0.38,2.42,0.38
20260801B06,平均落札価格（TSO別）[円/kW・30分],2.3,9.68,1.34,1.03,1.2,0,2.27,0.45,3.92,2.9
