H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202608,一次調整力,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260801B05,落札量合計（電源属地別）[MW],119,91.195,403.206,113.104,3.127,63.868,187.754,42,150.378,1173.632
20260801B05,応札件数（電源属地別）[件],8,18,50,40,2,14,16,9,33,190
20260801B05,落札件数（電源属地別）[件],7,18,49,37,2,3,12,4,24,156
20260801B05,最高落札価格（電源属地別）[円/kW・30分],4.49,15,14.34,11.67,8.5,6.99,7,1.8,7.85,15
20260801B05,最低落札価格（電源属地別）[円/kW・30分],0.99,5.85,0.39,0.59,6.5,1.44,0.39,0.36,3.5,0.36
20260801B05,平均落札価格（電源属地別）[円/kW・30分],1.59,10.54,3.76,6.46,7.73,3.49,2.54,0.51,5.72,4.26
20260801B05,最高落札価格（TSO別）[円/kW・30分],4.49,15,14.34,11.67,8.5,6.99,3.47,1.8,7.85,15
20260801B05,最低落札価格（TSO別）[円/kW・30分],0.99,5.85,0.39,0.59,6.5,0.39,0.39,0.36,3.47,0.36
20260801B05,平均落札価格（TSO別）[円/kW・30分],1.59,10.54,3.76,6.46,7.73,2.98,2.07,0.51,5.74,4.26
20260801B05,落札量合計（TSO別）[MW],119,91.195,403.206,113.104,3.127,136,101,42,165,1173.632
20260801B05,（内訳）自エリアからの落札量[MW],119,91.195,403.206,113.104,3.127,63.868,101,42,150.378,1086.878
20260801B06,募集量（TSO別）[MW],61,170,545,230,53,135,101,39,165,1499
20260801B06,応札量合計（電源属地別）[MW],158.608,91.195,381.609,137.705,3.127,85.531,181.735,189.86,168.764,1398.134
20260801B06,落札量合計（電源属地別）[MW],98.74,91.195,376.429,131.325,3.127,73.71,176.787,42,150.503,1143.816
20260801B06,応札件数（電源属地別）[件],7,18,51,41,2,14,15,9,33,190
20260801B06,落札件数（電源属地別）[件],5,18,49,38,2,8,13,4,24,161
20260801B06,最高落札価格（電源属地別）[円/kW・30分],3,15,14.34,11.67,8.5,6.99,8,1.8,7.5,15
20260801B06,最低落札価格（電源属地別）[円/kW・30分],0.99,5.85,0.39,0.5,6.5,1.44,0.39,0.36,3.5,0.36
20260801B06,平均落札価格（電源属地別）[円/kW・30分],1.09,10.52,4,5.85,7.73,3.89,2.9,0.51,5.55,4.39
20260801B06,最高落札価格（TSO別）[円/kW・30分],3,15,14.34,11.67,8.5,8,3.7,1.8,7.5,15
20260801B06,最低落札価格（TSO別）[円/kW・30分],0.99,5.85,0.39,0.5,6.5,0.39,0.39,0.36,0.39,0.36
20260801B06,平均落札価格（TSO別）[円/kW・30分],1.09,10.52,4,5.85,7.73,3.68,2.27,0.51,5.51,4.39
20260801B06,落札量合計（TSO別）[MW],98.74,91.195,376.429,131.325,3.127,135,101,42,165,1143.816
20260801B06,（内訳）自エリアからの落札量[MW],98.74,91.195,376.429,131.325,3.127,73.71,101,42,150.503,1068.029
20260801B07,募集量（TSO別）[MW],60,169,543,230,53,136,100,40,166,1497
20260801B07,応札量合計（電源属地別）[MW],184.608,106.193,420.557,150.024,3.127,83.575,144.546,188.858,181.92,1463.408
20260801B07,落札量合計（電源属地別）[MW],121.1,106.193,401.206,121.325,3.127,83.575,144.546,45,166,1192.072
20260801B07,応札件数（電源属地別）[件],8,19,57,51,2,13,20,9,40,219
20260801B07,落札件数（電源属地別）[件],6,19,48,37,2,13,20,3,32,180
20260801B07,最高落札価格（電源属地別）[円/kW・30分],8.85,15,14.31,11.67,8.5,13.85,10.77,1.8,6,15
20260801B07,最低落札価格（電源属地別）[円/kW・30分],0.98,5.85,0.39,0.41,8,1,2.13,0.36,3.25,0.36
20260801B07,平均落札価格（電源属地別）[円/kW・30分],1.14,10.74,3.73,5.6,8.19,3.64,4.16,0.69,5.11,4.42
20260801B07,最高落札価格（TSO別）[円/kW・30分],8.85,15,14.31,11.67,8.5,13.85,10.77,1.8,6,15
20260801B07,最低落札価格（TSO別）[円/kW・30分],0.98,5.85,0.39,0.41,3.7,1,2.13,0.36,3.25,0.36
20260801B07,平均落札価格（TSO別）[円/kW・30分],1.14,10.74,3.73,5.6,4.16,3.74,4.28,0.69,5.11,4.42
20260801B07,落札量合計（TSO別）[MW],121.1,106.193,401.206,121.325,30.607,100.641,100,45,166,1192.072
20260801B07,（内訳）自エリアからの落札量[MW],121.1,106.193,401.206,121.325,3.127,83.575,100,45,166,1147.526
20260801B08,募集量（TSO別）[MW],60,169,544,230,53,136,100,40,166,1498
20260801B08,応札量合計（電源属地別）[MW],184.608,107.693,417.117,156.224,1.93,81.613,142.746,188.858,177.092,1457.881
20260801B08,落札量合計（電源属地別）[MW],126.1,107.693,402.206,131.325,1.93,81.613,142.746,45,166,1204.613
20260801B08,応札件数（電源属地別）[件],8,20,55,50,1,12,19,9,37,211
20260801B08,落札件数（電源属地別）[件],7,20,48,38,1,12,19,3,32,180
20260801B08,最高落札価格（電源属地別）[円/kW・30分],11.7,15,14.31,11.67,8,13.85,10.77,1.8,6.8,15
20260801B08,最低落札価格（電源属地別）[円/kW・30分],0.98,5.85,0.39,0.47,8,1.42,2.13,0.36,1.5,0.36
20260801B08,平均落札価格（電源属地別）[円/kW・30分],1.49,10.18,3.8,6.01,8,3.79,4.54,0.69,5.13,4.53
20260801B08,最高落札価格（TSO別）[円/kW・30分],11.7,15,14.31,11.67,8,13.85,8.63,1.8,6.8,15
20260801B08,最低落札価格（TSO別）[円/kW・30分],0.98,5.85,0.39,0.47,3.7,1.42,2.13,0.36,1.5,0.36
20260801B08,平均落札価格（TSO別）[円/kW・30分],1.49,10.18,3.8,6.01,4.57,4.8,3.69,0.69,5.13,4.53
20260801B08,落札量合計（TSO別）[MW],126.1,107.693,402.206,131.325,9.51,116.779,100,45,166,1204.613
20260801B08,（内訳）自エリアからの落札量[MW],126.1,107.693,402.206,131.325,1.93,81.613,100,45,166,1161.867
20260801B09,募集量（TSO別）[MW],60,169,545,230,53,137,100,41,167,1502
20260801B09,応札量合計（電源属地別）[MW],186.558,107.693,420.437,149.426,1.93,87.48,144.546,188.858,180.92,1467.848
20260801B09,落札量合計（電源属地別）[MW],133.1,107.693,403.206,121.325,1.93,87.48,144.546,46,167,1212.28
20260801B09,応札件数（電源属地別）[件],9,20,57,51,1,15,20,9,39,221
20260801B09,落札件数（電源属地別）[件],7,20,49,37,1,15,20,3,32,184
20260801B09,最高落札価格（電源属地別）[円/kW・30分],9.15,15,14.31,11.67,4,13.85,10.77,1.8,6.8,15
20260801B09,最低落札価格（電源属地別）[円/kW・30分],0.98,5.85,0.39,0.52,4,1.42,0.81,0.36,2.5,0.36
20260801B09,平均落札価格（電源属地別）[円/kW・30分],1.7,10.07,3.79,5.5,4,4.01,4.42,0.69,5.1,4.44
20260801B09,最高落札価格（TSO別）[円/kW・30分],9.15,15,14.31,11.67,4,13.85,9,1.8,6.8,15
20260801B09,最低落札価格（TSO別）[円/kW・30分],0.98,5.85,0.39,0.52,3.72,0.81,2.13,0.36,2.5,0.36
20260801B09,平均落札価格（TSO別）[円/kW・30分],1.7,10.07,3.79,5.5,3.75,4.7,3.88,0.69,5.1,4.44
20260801B09,落札量合計（TSO別）[MW],133.1,107.693,403.206,121.325,21.31,112.646,100,46,167,1212.28
20260801B09,（内訳）自エリアからの落札量[MW],133.1,107.693,403.206,121.325,1.93,87.48,100,46,167,1167.734
20260801B10,募集量（TSO別）[MW],60,169,546,230,53,137,100,41,167,1503
20260801B10,応札量合計（電源属地別）[MW],186.558,107.693,378.337,149.426,3.127,76.438,144.546,188.858,180.92,1415.903
20260801B10,落札量合計（電源属地別）[MW],136.1,107.693,358.336,121.325,3.127,76.438,144.546,47,167,1161.565
20260801B10,応札件数（電源属地別）[件],9,20,59,51,2,16,20,9,39,225
20260801B10,落札件数（電源属地別）[件],7,20,49,37,2,16,20,3,32,186
20260801B10,最高落札価格（電源属地別）[円/kW・30分],9.35,15,14.31,11.67,4.5,13.85,10.77,1.8,6.8,15
20260801B10,最低落札価格（電源属地別）[円/kW・30分],0.98,5.11,0.39,0.91,4.5,1.42,1.5,0.36,2.07,0.36
20260801B10,平均落札価格（電源属地別）[円/kW・30分],1.88,9.45,4.17,5.6,4.5,3.6,4.7,0.71,5.09,4.56
20260801B10,最高落札価格（TSO別）[円/kW・30分],9.35,15,14.31,11.67,4.5,13.85,3.77,1.8,6.8,15
20260801B10,最低落札価格（TSO別）[円/kW・30分],0.98,5.11,0.39,0.91,4.5,1.42,2.13,0.36,2.07,0.36
20260801B10,平均落札価格（TSO別）[円/kW・30分],1.88,9.45,4.17,5.6,4.5,4.97,3.54,0.71,5.09,4.56
20260801B10,落札量合計（TSO別）[MW],136.1,107.693,358.336,121.325,3.127,120.984,100,47,167,1161.565
20260801B10,（内訳）自エリアからの落札量[MW],136.1,107.693,358.336,121.325,3.127,76.438,100,47,167,1117.019
20260801B11,募集量（TSO別）[MW],60,169,546,230,53,137,100,41,167,1503
20260801B11,応札量合計（電源属地別）[MW],237.608,107.693,374.651,151.416,3.127,91.438,146.979,188.858,180.92,1482.69
20260801B11,落札量合計（電源属地別）[MW],138,107.693,354.65,121.325,3.127,62.598,128.132,123.501,136.769,1175.795
20260801B11,応札件数（電源属地別）[件],8,20,59,52,2,17,20,9,39,226
20260801B11,落札件数（電源属地別）[件],5,20,49,37,2,9,10,4,18,154
20260801B11,最高落札価格（電源属地別）[円/kW・30分],4.49,15,14.31,11.67,6,3,4.09,1.8,5.65,15
20260801B11,最低落札価格（電源属地別）[円/kW・30分],0.99,5.85,0.39,0.4,4,1,2.13,0.36,3,0.36
20260801B11,平均落札価格（電源属地別）[円/kW・30分],2.13,10.8,4.66,5.52,4.77,1.57,3.56,0.49,5.08,4.34
20260801B11,最高落札価格（TSO別）[円/kW・30分],4.49,15,14.31,11.67,6,3.72,3.72,1.8,5.65,15
20260801B11,最低落札価格（TSO別）[円/kW・30分],0.99,5.85,0.39,0.4,4,0.36,2.13,0.36,0.36,0.36
20260801B11,平均落札価格（TSO別）[円/kW・30分],2.13,10.8,4.66,5.52,4.77,1.11,3.56,0.71,4.6,4.34
20260801B11,落札量合計（TSO別）[MW],138,107.693,354.65,121.325,3.127,137,100,47,167,1175.795
20260801B11,（内訳）自エリアからの落札量[MW],138,107.693,354.65,121.325,3.127,62.598,100,47,136.769,1071.162
20260801B12,募集量（TSO別）[MW],60,169,546,230,53,137,100,41,167,1503
20260801B12,応札量合計（電源属地別）[MW],184.608,107.693,473.918,149.916,3.127,91.438,142.097,188.858,178.944,1520.599
20260801B12,落札量合計（電源属地別）[MW],136.1,107.693,453.917,121.325,3.127,80.814,121.258,131.801,167,1323.035
