H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202512,二次調整力2,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20251201B01,募集量（TSO別）[MW],8,0,0,41,13,0,0,11,0,73
20251201B01,応札量合計（電源属地別）[MW],115,50,341.843,510.618,69,381.826,167.614,66,319,2020.901
20251201B01,落札量合計（電源属地別）[MW],25,50,92.901,465.156,69,213,83.604,52,53,1103.661
20251201B01,応札件数（電源属地別）[件],5,1,7,10,1,4,6,5,5,44
20251201B01,落札件数（電源属地別）[件],1,1,6,10,1,4,4,5,3,35
20251201B01,最高落札価格（電源属地別）[円/kW・30分],4.27,4.53,3.48,7.65,1.94,8.37,1.14,6.67,0.97,8.37
20251201B01,最低落札価格（電源属地別）[円/kW・30分],4.27,4.53,0.36,1.16,1.94,0.36,0.36,0.36,0.36,0.36
20251201B01,平均落札価格（電源属地別）[円/kW・30分],4.27,4.53,1.83,3.41,1.94,5.55,0.81,3.5,0.74,3.35
20251201B01,最高落札価格（TSO別）[円/kW・30分],4.53,4.53,3.48,7.65,1.94,8.37,1.14,6.67,0.97,8.37
20251201B01,最低落札価格（TSO別）[円/kW・30分],4.27,4.53,0.36,1.16,1.94,0.36,0.36,0.36,0.36,0.36
20251201B01,平均落札価格（TSO別）[円/kW・30分],4.33,4.53,1.83,3.41,1.94,5.55,0.81,3.5,0.74,3.35
20251201B01,落札量合計（TSO別）[MW],33,42,92.901,465.156,69,213,83.604,52,53,1103.661
20251201B01,（内訳）自エリアからの落札量[MW],25,42,92.901,465.156,69,213,83.604,52,53,1095.661
20251201B02,募集量（TSO別）[MW],7,0,0,67,22,0,0,11,0,107
20251201B02,応札量合計（電源属地別）[MW],130.2,50,561.581,509.821,69,381.826,167.614,66,319,2255.042
20251201B02,落札量合計（電源属地別）[MW],21,50,104.031,390.101,69,226,83.604,52,83,1078.736
20251201B02,応札件数（電源属地別）[件],6,1,9,11,1,4,6,5,5,48
20251201B02,落札件数（電源属地別）[件],2,1,6,11,1,4,4,5,4,38
20251201B02,最高落札価格（電源属地別）[円/kW・30分],9.98,4.45,3.15,2.91,2.04,7.43,1.93,6.33,1.84,9.98
20251201B02,最低落札価格（電源属地別）[円/kW・30分],8.8,4.45,0.36,1.12,2.04,0.36,0.36,0.36,0.36,0.36
20251201B02,平均落札価格（電源属地別）[円/kW・30分],9.36,4.45,1.47,2.05,2.04,4.68,1.27,3.64,0.95,2.73
