H,連系線確保量,対象年月,ブロック数,市場種別
P,速報値,202605,48,DCM
T,順方向元エリア,逆方向元エリア,DCM：連系線確保量上限値（順方向）[MW],DCM：連系線確保量上限値（逆方向）[MW],DCM：連系線確保量（順方向）[MW],DCM：連系線確保量（逆方向）[MW]
20260501B10,北海道,東北,75,0,0,0
20260501B10,東北,東京,691.224,2360,0,0
20260501B10,東京,中部,528.886,0,0,0
20260501B10,中部関西,北陸,1049.296,1450.865,99,0
20260501B10,中部,北陸関西,1590,0,654.822,0
20260501B10,中部北陸,関西,1590,0,555.822,0
20260501B10,関西,中国,4600,1254.095,345.92,97.571
20260501B10,関西_関西-中国間(東),中国_関西-中国間(東),4600,1254.095,345.92,97.571
20260501B10,関西_関西-中国間(西),中国_関西-中国間(西),4600,1254.095,300.92,30.098
20260501B10,関西,四国,0,0,0,0
20260501B10,中国,四国,1200,254.157,45,67.473
20260501B10,中国,九州,710,0,159,0
20260501B11,北海道,東北,45.792,22.682,0,22.682
20260501B11,東北,東京,569.524,2360,0,12.682
20260501B11,東京,中部,528.886,0,36.271,0
20260501B11,中部関西,北陸,1153.896,1346.265,99,0
20260501B11,中部,北陸関西,1590,0,645.747,0
20260501B11,中部北陸,関西,1590,0,546.747,0
20260501B11,関西,中国,4600,1275.553,345.92,98.321
20260501B11,関西_関西-中国間(東),中国_関西-中国間(東),4600,1275.553,345.92,98.321
20260501B11,関西_関西-中国間(西),中国_関西-中国間(西),4600,1275.553,309.245,39.173
20260501B11,関西,四国,0,0,0,0
20260501B11,中国,四国,1200,222.757,45,67.473
20260501B11,中国,九州,700,0,159,0
20260501B12,北海道,東北,0,75,0,75
20260501B12,東北,東京,395.624,2360,0,65
20260501B12,東京,中部,528.886,0,78.777,0
20260501B12,中部関西,北陸,1079.296,1420.865,95.37,0
20260501B12,中部,北陸関西,1590,0,612.674,0
20260501B12,中部北陸,関西,1590,0,517.304,0
20260501B12,関西,中国,4600,1292.243,330.924,101.616
20260501B12,関西_関西-中国間(東),中国_関西-中国間(東),4600,1292.243,330.924,101.616
20260501B12,関西_関西-中国間(西),中国_関西-中国間(西),4600,1292.243,320.397,42.616
20260501B12,関西,四国,0,0,0,0
20260501B12,中国,四国,1200,130.857,20,68.473
20260501B12,中国,九州,560,0,159,0
20260501B13,北海道,東北,4.501,64.445,0,64.445
20260501B13,東北,東京,739.282,2360,0,100.445
20260501B13,東京,中部,334.1,0,39.179,0
20260501B13,中部関西,北陸,1530.726,1276.227,106,0
20260501B13,中部,北陸関西,1321.162,0,720.336,0
20260501B13,中部北陸,関西,614.336,0,614.336,0
20260501B13,関西,中国,4600,0,289.809,0
20260501B13,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,253.336,0
20260501B13,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,289.809,0
20260501B13,関西,四国,0,0,0,0
20260501B13,中国,四国,1200,50.338,0,36.473
20260501B13,中国,九州,420,0,118,0
20260501B14,北海道,東北,0,75,0,75
20260501B14,東北,東京,0,2360,0,123
20260501B14,東京,中部,334.1,0,0,0
20260501B14,中部関西,北陸,1667.526,1139.427,130.144,0
20260501B14,中部,北陸関西,1321.162,0,607.68,0
20260501B14,中部北陸,関西,477.536,0,477.536,0
20260501B14,関西,中国,4600,0,325.413,0
20260501B14,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,270.94,0
20260501B14,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,325.413,0
20260501B14,関西,四国,0,0,0,0
20260501B14,中国,四国,1200,82.538,0,54.473
20260501B14,中国,九州,360,0,197.531,0
20260501B15,北海道,東北,0,75,0,75
20260501B15,東北,東京,0,2360,0,114
20260501B15,東京,中部,334.1,0,0,0
20260501B15,中部関西,北陸,1789.726,1017.227,131.688,0
20260501B15,中部,北陸関西,1321.162,0,487.024,0
20260501B15,中部北陸,関西,355.336,0,355.336,0
20260501B15,関西,中国,4600,0,176.94,0
20260501B15,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,176.94,0
20260501B15,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,176.94,0
20260501B15,関西,四国,0,0,0,0
20260501B15,中国,四国,1200,0,0,0
20260501B15,中国,九州,300,0,26.058,0
20260501B16,北海道,東北,0,75,0,75
20260501B16,東北,東京,0,2360,0,158.928
20260501B16,東京,中部,334.1,0,0,0
20260501B16,中部関西,北陸,1810.226,996.727,156.07,0
20260501B16,中部,北陸関西,1321.162,0,490.906,0
20260501B16,中部北陸,関西,334.836,0,334.836,0
20260501B16,関西,中国,4600,0,188.94,0
20260501B16,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,188.94,0
20260501B16,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,188.94,0
20260501B16,関西,四国,0,0,0,0
20260501B16,中国,四国,1200,0,0,0
20260501B16,中国,九州,300,0,25.058,0
20260501B17,北海道,東北,0,75,0,75
20260501B17,東北,東京,0.282,2360,0.282,74.26
20260501B17,東京,中部,334.1,0,0,0
20260501B17,中部関西,北陸,2084.626,1132.327,172.366,0
20260501B17,中部,北陸関西,531.162,0,172.366,0
20260501B17,中部北陸,関西,0,0,0,0
20260501B17,関西,中国,4600,0,0,0
20260501B17,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,0,0
20260501B17,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,0,0
20260501B17,関西,四国,0,0,0,0
20260501B17,中国,四国,1200,0,0,0
20260501B17,中国,九州,250,0,0,0
20260501B18,北海道,東北,0,75,0,75
20260501B18,東北,東京,0,2360,0,80.464
20260501B18,東京,中部,334.1,0,0,0
20260501B18,中部関西,北陸,2010.026,1206.927,175,0
20260501B18,中部,北陸関西,531.162,0,175,0
20260501B18,中部北陸,関西,0,0,0,0
20260501B18,関西,中国,4600,0,0,0
20260501B18,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,0,0
20260501B18,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,0,0
20260501B18,関西,四国,0,0,0,0
20260501B18,中国,四国,1200,0,0,0
20260501B18,中国,九州,220,0,0,0
20260501B19,北海道,東北,0,75,0,75
20260501B19,東北,東京,0,2360,0,202
20260501B19,東京,中部,118.74,0,0,0
20260501B19,中部関西,北陸,2262.412,1474.71,214.996,0
20260501B19,中部,北陸関西,520.392,0,237.2,0
20260501B19,中部北陸,関西,22.204,0,22.204,0
20260501B19,関西,中国,4600,0,78.858,0
20260501B19,関西_関西-中国間(東),中国_関西-中国間(東),4600,0,0,0
20260501B19,関西_関西-中国間(西),中国_関西-中国間(西),4600,0,78.858,0
20260501B19,関西,四国,0,0,0,0
20260501B19,中国,四国,1200,78.858,0,78.858
20260501B19,中国,九州,200,0,0,0
20260501B20,北海道,東北,0,75,0,75
20260501B20,東北,東京,0,2360,0,198.151
20260501B20,東京,中部,118.74,0,0,0
20260501B20,中部関西,北陸,2275.112,1462.01,221,0
20260501B20,中部,北陸関西,366.592,0,221,0
20260501B20,中部北陸,関西,0,63.006,0,0
20260501B20,関西,中国,4600,0,89.473,0
