H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202603,一次調整力,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260314B05,応札件数（電源属地別）[件],4,4,32,18,1,2,5,6,12,84
20260314B05,落札件数（電源属地別）[件],4,4,32,5,1,2,5,5,6,64
20260314B05,最高落札価格（電源属地別）[円/kW・30分],4.1,15,15,2.09,2.21,4.98,12.31,10.67,6.49,15
20260314B05,最低落札価格（電源属地別）[円/kW・30分],1.1,1.31,0.36,0.5,2.21,0.82,1.36,0.65,4.47,0.36
20260314B05,平均落札価格（電源属地別）[円/kW・30分],3.17,2.09,2.48,1.35,2.21,1.18,7.78,3.63,5.97,3.89
20260314B05,最高落札価格（TSO別）[円/kW・30分],4.1,15,15,2.09,2.21,4.98,12.31,10.67,6.49,15
20260314B05,最低落札価格（TSO別）[円/kW・30分],1.1,1.31,0.36,0.5,2.21,0.82,1.36,0.65,4.47,0.36
20260314B05,平均落札価格（TSO別）[円/kW・30分],3.17,2.09,2.48,1.35,2.21,1.18,7.78,3.63,5.97,3.89
20260314B05,落札量合計（TSO別）[MW],19,45.35,286.496,61.433,30,21.485,113.327,51.93,161,790.021
20260314B05,（内訳）自エリアからの落札量[MW],19,45.35,286.496,61.433,30,21.485,113.327,51.93,161,790.021
20260314B06,募集量（TSO別）[MW],9,195,459,55,59,263,144,40,161,1385
20260314B06,応札量合計（電源属地別）[MW],32.708,45.35,261.911,188.885,9.156,21.485,113.327,95.473,171.75,940.045
20260314B06,落札量合計（電源属地別）[MW],20,45.35,261.911,56.908,9.156,21.485,113.327,69.93,161,759.067
20260314B06,応札件数（電源属地別）[件],4,4,31,18,1,2,5,6,12,83
20260314B06,落札件数（電源属地別）[件],4,4,31,5,1,2,5,4,6,62
20260314B06,最高落札価格（電源属地別）[円/kW・30分],4.1,15,15,2.34,2.21,2.98,12.42,4.77,6.37,15
20260314B06,最低落札価格（電源属地別）[円/kW・30分],1.1,1.31,0.36,0.5,2.21,0.86,1.24,0.35,4.35,0.35
20260314B06,平均落札価格（電源属地別）[円/kW・30分],3.22,2.09,2.6,0.92,2.21,1.04,7.83,2.57,5.85,3.88
20260314B06,最高落札価格（TSO別）[円/kW・30分],4.1,15,15,2.34,2.21,2.98,12.42,4.77,6.37,15
20260314B06,最低落札価格（TSO別）[円/kW・30分],1.1,1.31,0.36,0.5,2.21,0.86,1.24,0.35,4.35,0.35
20260314B06,平均落札価格（TSO別）[円/kW・30分],3.22,2.09,2.6,0.92,2.21,1.04,7.83,2.57,5.85,3.88
20260314B06,落札量合計（TSO別）[MW],20,45.35,261.911,56.908,9.156,21.485,113.327,69.93,161,759.067
20260314B06,（内訳）自エリアからの落札量[MW],20,45.35,261.911,56.908,9.156,21.485,113.327,69.93,161,759.067
20260314B07,募集量（TSO別）[MW],8,193,457,54,58,262,143,40,161,1376
20260314B07,応札量合計（電源属地別）[MW],34.658,45.35,279.05,177.968,30,5.956,119.256,92.473,180.75,965.461
20260314B07,落札量合計（電源属地別）[MW],22.75,45.35,279.05,54,30,5.956,119.256,62,170,788.362
20260314B07,応札件数（電源属地別）[件],5,4,35,19,1,3,8,6,12,93
20260314B07,落札件数（電源属地別）[件],5,4,35,4,1,3,8,2,6,68
20260314B07,最高落札価格（電源属地別）[円/kW・30分],4.5,15,15,1.85,2.03,15,15,4.77,6.22,15
20260314B07,最低落札価格（電源属地別）[円/kW・30分],2,1.46,0.36,0.5,2.03,15,1.09,0.35,4.2,0.35
20260314B07,平均落札価格（電源属地別）[円/kW・30分],3.94,2.2,2.78,1.15,2.03,15,8.17,2.56,5.68,4.15
20260314B07,最高落札価格（TSO別）[円/kW・30分],4.5,15,15,1.85,2.03,15,15,4.77,6.22,15
20260314B07,最低落札価格（TSO別）[円/kW・30分],2,1.46,0.36,0.5,2.03,15,1.09,0.35,4.2,0.35
20260314B07,平均落札価格（TSO別）[円/kW・30分],3.94,2.2,2.78,1.15,2.03,15,8.17,2.56,5.68,4.15
20260314B07,落札量合計（TSO別）[MW],22.75,45.35,279.05,54,30,5.956,119.256,62,170,788.362
20260314B07,（内訳）自エリアからの落札量[MW],22.75,45.35,279.05,54,30,5.956,119.256,62,170,788.362
20260314B08,募集量（TSO別）[MW],8,194,458,54,58,263,143,40,161,1379
20260314B08,応札量合計（電源属地別）[MW],34.658,45.35,240.45,195.401,30,5.956,119.256,92.473,178.85,942.394
20260314B08,落札量合計（電源属地別）[MW],23.75,45.35,240.45,66.242,30,5.956,119.256,43,170,744.004
20260314B08,応札件数（電源属地別）[件],5,4,33,21,1,3,8,6,11,92
20260314B08,落札件数（電源属地別）[件],5,4,33,5,1,3,8,3,6,68
20260314B08,最高落札価格（電源属地別）[円/kW・30分],4.5,15,15,2.53,2,15,15,4.78,6.18,15
20260314B08,最低落札価格（電源属地別）[円/kW・30分],2,1.48,0.36,0.5,2,15,1.05,0.35,4.16,0.35
20260314B08,平均落札価格（電源属地別）[円/kW・30分],3.96,2.22,3.06,1.39,2,15,8.18,1.58,5.64,4.27
20260314B08,最高落札価格（TSO別）[円/kW・30分],4.5,15,15,2.53,2,15,15,4.78,6.18,15
20260314B08,最低落札価格（TSO別）[円/kW・30分],2,1.48,0.36,0.5,2,15,1.05,0.35,4.16,0.35
20260314B08,平均落札価格（TSO別）[円/kW・30分],3.96,2.22,3.06,1.39,2,15,8.18,1.58,5.64,4.27
20260314B08,落札量合計（TSO別）[MW],23.75,45.35,240.45,66.242,30,5.956,119.256,43,170,744.004
20260314B08,（内訳）自エリアからの落札量[MW],23.75,45.35,240.45,66.242,30,5.956,119.256,43,170,744.004
20260314B09,募集量（TSO別）[MW],8,194,459,54,58,263,143,40,161,1380
20260314B09,応札量合計（電源属地別）[MW],49.963,45.35,218.096,174.892,30,5.956,218.517,92.473,180.85,1016.097
20260314B09,落札量合計（電源属地別）[MW],39.055,45.35,218.096,54,30,5.956,151.554,44,172,760.011
20260314B09,応札件数（電源属地別）[件],6,4,31,19,1,3,9,6,12,91
20260314B09,落札件数（電源属地別）[件],6,4,31,4,1,3,5,3,7,64
20260314B09,最高落札価格（電源属地別）[円/kW・30分],4.53,15,15,2.24,2.21,15,6.22,4.78,6.29,15
20260314B09,最低落札価格（電源属地別）[円/kW・30分],2,1.31,0.36,0.5,2.21,15,1.15,0.35,4.27,0.35
20260314B09,平均落札価格（電源属地別）[円/kW・30分],4.18,2.09,3.13,1.07,2.21,15,4.08,1.66,5.73,3.73
20260314B09,最高落札価格（TSO別）[円/kW・30分],4.53,15,15,2.24,2.21,15,6.22,4.78,6.29,15
20260314B09,最低落札価格（TSO別）[円/kW・30分],2,1.31,0.36,0.5,2.21,15,1.15,0.35,4.27,0.35
20260314B09,平均落札価格（TSO別）[円/kW・30分],4.18,2.09,3.13,1.07,2.21,15,4.08,1.66,5.73,3.73
20260314B09,落札量合計（TSO別）[MW],39.055,45.35,218.096,54,30,5.956,151.554,44,172,760.011
20260314B09,（内訳）自エリアからの落札量[MW],39.055,45.35,218.096,54,30,5.956,151.554,44,172,760.011
