H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202601,一次調整力,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260101B02,システム約定結果,落札量合計（TSO別）[MW],23,50.52,160.022,0,35,217,126.209,47,78.342,737.093
20260101B02,システム約定結果,（内訳）自エリアからの落札量[MW],23,50.52,160.022,0,35,205.293,111.105,47,50.342,682.282
20260101B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260101B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260101B02,合計（確報値）,募集量（TSO別）[MW],0,140,240,0,70,217,213,47,235,1162
20260101B02,合計（確報値）,応札量合計（電源属地別）[MW],133.74,50.52,160.022,11.707,35,205.467,139.105,61.93,50.342,847.833
20260101B02,合計（確報値）,約定量合計（電源属地別）[MW],23,50.52,160.022,11.707,35,203.488,139.105,50.93,50.342,724.114
20260101B02,合計（確報値）,応札件数（電源属地別）[件],5,5,23,6,1,10,5,5,7,67
20260101B02,合計（確報値）,約定件数（電源属地別）[件],2,5,23,6,1,9,5,4,7,62
20260101B02,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],4.5,19.51,19.51,19.51,0.77,19.51,19.49,19,19.51,19.51
20260101B02,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],4.5,1.43,0.36,19.47,0.77,0.36,0.36,0.5,0.36,0.36
20260101B02,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],4.5,7.17,4.39,19.49,0.77,2.74,1.16,3.2,3.75,3.44
20260101B02,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],4.5,19.51,19.51,0,0.77,19.51,19.49,7.3,19.51,19.51
20260101B02,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],4.5,1.43,0.36,0,0.77,0.36,0.36,0.5,0.36,0.36
20260101B02,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],4.5,7.17,4.39,0,0.77,3.65,2.07,0.88,2.82,3.44
20260101B02,合計（確報値）,約定量合計（TSO別）[MW],23,50.52,160.022,0,35,215.021,126.209,36,78.342,724.114
20260101B02,合計（確報値）,（内訳）自エリアからの約定量[MW],23,50.52,160.022,0,35,203.314,111.105,36,50.342,669.303
20260101B03,システム約定結果,募集量（TSO別）[MW],6,191,505,184,91,292,239,66,249,1823
20260101B03,システム約定結果,応札量合計（電源属地別）[MW],146.44,72.52,76.895,9.717,60,205.467,139.105,58.93,17.342,786.416
20260101B03,システム約定結果,落札量合計（電源属地別）[MW],46,72.52,76.895,9.717,60,205.467,139.105,58.93,17.342,685.976
20260101B03,システム約定結果,応札件数（電源属地別）[件],6,6,28,5,2,10,5,4,6,72
20260101B03,システム約定結果,落札件数（電源属地別）[件],3,6,28,5,2,10,5,4,6,69
20260101B03,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],17,19.51,19.51,19.51,0.38,19.51,19.51,19.5,19.51,19.51
20260101B03,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],4.49,1.43,0.36,19.47,0.35,0.83,0.36,0.57,0.36,0.35
20260101B03,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],10.34,5.45,11.08,19.49,0.37,3.66,1.16,4,8.46,4.71
20260101B03,システム約定結果,最高落札価格（TSO別）[円/kW・30分],17,19.51,19.51,19.51,0.38,19.51,19.51,19.5,19.51,19.51
20260101B03,システム約定結果,最低落札価格（TSO別）[円/kW・30分],4.49,1.43,0.36,19.47,0.35,0.83,0.36,0.57,0.36,0.35
20260101B03,システム約定結果,平均落札価格（TSO別）[円/kW・30分],10.34,5.45,11.08,19.49,0.37,3.76,1.31,4,8.46,4.71
20260101B03,システム約定結果,落札量合計（TSO別）[MW],46,72.52,76.895,9.717,60,189.041,155.531,58.93,17.342,685.976
20260101B03,システム約定結果,（内訳）自エリアからの落札量[MW],46,72.52,76.895,9.717,60,189.041,139.105,58.93,17.342,669.55
20260101B03,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260101B03,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260101B03,合計（確報値）,募集量（TSO別）[MW],6,191,505,184,91,292,239,66,249,1823
20260101B03,合計（確報値）,応札量合計（電源属地別）[MW],146.44,72.52,76.895,9.717,110,205.467,139.105,58.93,17.342,836.416
20260101B03,合計（確報値）,約定量合計（電源属地別）[MW],46,72.52,76.895,9.717,60,203.488,139.105,47.93,17.342,672.997
20260101B03,合計（確報値）,応札件数（電源属地別）[件],6,6,28,5,8,10,5,4,6,78
20260101B03,合計（確報値）,約定件数（電源属地別）[件],3,6,28,5,4,9,5,3,6,69
20260101B03,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],17,19.51,19.51,19.51,0.38,19.51,19.51,19.5,19.51,19.51
20260101B03,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],4.49,1.43,0.36,19.47,0.35,0.83,0.36,0.57,0.36,0.35
20260101B03,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],10.34,5.45,11.08,19.49,0.37,3.51,1.16,3.54,8.46,4.65
20260101B03,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],17,19.51,19.51,19.51,0.38,19.51,19.51,19.5,19.51,19.51
20260101B03,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],4.49,1.43,0.36,19.47,0.35,0.83,0.36,0.57,0.36,0.35
20260101B03,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],10.34,5.45,11.08,19.49,0.37,3.6,1.31,3.54,8.46,4.65
20260101B03,合計（確報値）,約定量合計（TSO別）[MW],46,72.52,76.895,9.717,60,187.062,155.531,47.93,17.342,672.997
20260101B03,合計（確報値）,（内訳）自エリアからの約定量[MW],46,72.52,76.895,9.717,60,187.062,139.105,47.93,17.342,656.571
20260101B04,システム約定結果,募集量（TSO別）[MW],13,215,411,39,95,295,243,78,272,1661
20260101B04,システム約定結果,応札量合計（電源属地別）[MW],146.74,47.17,78.415,11.707,60,205.467,160.27,27.93,21.17,758.869
20260101B04,システム約定結果,落札量合計（電源属地別）[MW],56,47.17,78.415,11.707,60,205.467,160.27,27.93,21.17,668.129
