H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202512,三次調整力1,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20251201B01,システム約定結果,募集量（TSO別）[MW],0,0,0,0,83,150,0,63,55,351
20251201B01,システム約定結果,応札量合計（電源属地別）[MW],476,250,606.128,846,85,606.246,398.259,136,480,3883.633
20251201B01,システム約定結果,落札量合計（電源属地別）[MW],25,242,225.246,800.538,85,233.3,137.93,52,53,1854.014
20251201B01,システム約定結果,応札件数（電源属地別）[件],5,1,8,10,1,4,6,6,5,46
20251201B01,システム約定結果,落札件数（電源属地別）[件],1,1,6,10,1,4,4,5,3,35
20251201B01,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4.27,4.53,3.48,7.65,1.94,8.37,1.14,6.67,0.97,8.37
20251201B01,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],4.27,4.53,0.36,1.16,1.94,0.36,0.36,0.36,0.36,0.36
20251201B01,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],4.27,4.53,1.71,3.43,1.94,5.79,0.92,3.5,0.74,3.34
20251201B01,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4.27,4.53,3.48,7.65,1.94,8.37,1.14,8.37,1.14,8.37
20251201B01,システム約定結果,最低落札価格（TSO別）[円/kW・30分],4.27,4.53,0.36,1.16,1.94,0.36,0.36,0.36,0.36,0.36
20251201B01,システム約定結果,平均落札価格（TSO別）[円/kW・30分],4.27,4.53,1.71,3.43,1.94,5.55,0.91,4.84,0.75,3.34
20251201B01,システム約定結果,落札量合計（TSO別）[MW],25,242,225.246,800.538,84.34,213,135.89,73,55,1854.014
20251201B01,システム約定結果,（内訳）自エリアからの落札量[MW],25,242,225.246,800.538,84.34,213,135.89,52,53,1831.014
20251201B01,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20251201B01,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251201B01,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20251201B01,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251201B01,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20251201B01,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251201B01,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251201B01,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251201B01,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20251201B01,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
