H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202507,三次調整力1,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20250701B02,システム約定結果,（内訳）自エリアからの落札量[MW],21,67,0,447.711,56.832,91,215.96,65,146,1110.503
20250701B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250701B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20250701B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20250701B02,合計（確報値）,募集量（TSO別）[MW],289,0,143,0,0,37,47,90,0,606
20250701B02,合計（確報値）,応札量合計（電源属地別）[MW],21,150,435.493,661.952,68,581.5,470.401,127,206,2721.346
20250701B02,合計（確報値）,約定量合計（電源属地別）[MW],21,150,0,507.711,68,120.792,216,65,146,1294.503
20250701B02,合計（確報値）,応札件数（電源属地別）[件],2,1,5,7,1,4,6,5,6,37
20250701B02,合計（確報値）,約定件数（電源属地別）[件],2,1,0,6,1,3,5,4,5,27
20250701B02,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],19.51,3.88,0,7.79,11.52,5.9,2.33,7.96,1.09,19.51
20250701B02,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],5.15,3.88,0,0.36,11.52,0.36,0.36,1.02,0.36,0.36
20250701B02,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],5.83,3.88,0,4.76,11.52,3.7,2.09,2.98,0.68,3.94
20250701B02,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],19.51,3.88,7.79,7.79,11.52,5.9,2.33,11.52,1.09,19.51
20250701B02,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],5.15,3.88,3.88,0.36,11.52,0.36,0.36,0.36,0.36,0.36
20250701B02,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],5.83,3.88,4.52,4.67,11.52,2.98,2.09,4.7,0.68,3.94
20250701B02,合計（確報値）,約定量合計（TSO別）[MW],21,67,143,447.711,56.832,91,215.96,106,146,1294.503
20250701B02,合計（確報値）,（内訳）自エリアからの約定量[MW],21,67,0,447.711,56.832,91,215.96,65,146,1110.503
20250701B03,システム約定結果,募集量（TSO別）[MW],317,0,273,0,51,215,118,98,98,1170
20250701B03,システム約定結果,応札量合計（電源属地別）[MW],37.8,150,316.415,92,77,581.5,470.401,172,276,2173.116
20250701B03,システム約定結果,落札量合計（電源属地別）[MW],37.8,150,70,81,77,318.5,210.992,98.508,70,1113.8
20250701B03,システム約定結果,応札件数（電源属地別）[件],2,1,4,1,1,4,6,5,5,29
20250701B03,システム約定結果,落札件数（電源属地別）[件],2,1,1,1,1,4,5,5,3,23
20250701B03,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.35,4.26,0.36,3.2,9.21,7.47,2.94,8.49,0.44,19.35
20250701B03,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],10.94,4.26,0.36,3.2,9.21,0.36,0.37,0.36,0.36,0.36
20250701B03,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],14.9,4.26,0.36,3.2,9.21,5.24,2.58,2.2,0.37,4.18
20250701B03,システム約定結果,最高落札価格（TSO別）[円/kW・30分],19.35,4.26,4.26,0,9.21,7.47,6.23,9.21,9.21,19.35
20250701B03,システム約定結果,最低落札価格（TSO別）[円/kW・30分],10.94,4.26,0.36,0,1.9,0.36,0.37,0.36,0.36,0.36
20250701B03,システム約定結果,平均落札価格（TSO別）[円/kW・30分],14.9,4.26,3.03,0,7.26,5.16,2.66,3.58,2.77,4.18
20250701B03,システム約定結果,落札量合計（TSO別）[MW],37.8,7,273,0,51,294,206,147,98,1113.8
20250701B03,システム約定結果,（内訳）自エリアからの落札量[MW],37.8,7,70,0,22,294,197.02,82.508,70,780.328
20250701B03,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20250701B03,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250701B03,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20250701B03,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250701B03,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20250701B03,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
