H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202606,複合商品,48
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260601B01,募集量（TSO別）[MW],233,321,450,110,90,412,220,86,321,2243
20260601B01,応札量合計（電源属地別）[MW],322.458,532.346,590.044,740.824,0,257.585,181.385,254.473,421.898,3301.013
20260601B01,落札量合計（電源属地別）[MW],233,172.346,513.244,272.028,0,257.585,179.396,86,189.986,1903.585
20260601B01,応札件数（電源属地別）[件],9,8,40,22,0,12,8,10,29,138
20260601B01,落札件数（電源属地別）[件],2,8,38,22,0,12,7,5,28,122
20260601B01,最高落札価格（電源属地別）[円/kW・30分],1.01,15,15,15,0,14.49,12.6,1.07,14,15
20260601B01,最低落札価格（電源属地別）[円/kW・30分],0.91,4.01,0.39,0.73,0,0.39,0.39,0.38,3.22,0.38
20260601B01,平均落札価格（電源属地別）[円/kW・30分],1.01,6.38,2.29,3.5,0,2.06,1.45,0.42,6,2.85
20260601B01,最高落札価格（TSO別）[円/kW・30分],1.01,15,15,15,3.88,14.49,5.47,1.07,14,15
20260601B01,最低落札価格（TSO別）[円/kW・30分],0.91,0.57,0.39,0.57,0.57,0.39,0.39,0.38,0.57,0.38
20260601B01,平均落札価格（TSO別）[円/kW・30分],1.01,4.01,4.28,5.36,2.18,2.14,1.81,0.42,4.06,2.85
20260601B01,落札量合計（TSO別）[MW],233,233.346,215.412,85.824,79,406.003,220,86,345,1903.585
20260601B01,（内訳）自エリアからの落札量[MW],233,132.346,215.412,28.824,0,257.585,168.382,86,189.986,1311.535
20260601B02,募集量（TSO別）[MW],234,321,450,110,90,412,220,86,321,2244
20260601B02,応札量合計（電源属地別）[MW],293.458,532.346,752.614,520.824,0,257.585,175.173,254.473,421.898,3208.371
20260601B02,落札量合計（電源属地別）[MW],159,172.346,439.347,433.235,0,257.585,166.126,86,192.898,1906.537
20260601B02,応札件数（電源属地別）[件],8,8,46,20,0,12,8,10,29,141
20260601B02,落札件数（電源属地別）[件],2,8,39,20,0,12,8,5,29,123
20260601B02,最高落札価格（電源属地別）[円/kW・30分],1.01,15,15,15,0,14.49,14.5,1.07,14.16,15
20260601B02,最低落札価格（電源属地別）[円/kW・30分],0.91,4.01,0.39,0.48,0,0.39,0.39,0.38,2.95,0.38
20260601B02,平均落札価格（電源属地別）[円/kW・30分],1.01,6.7,2.41,1.62,0,2.06,1.56,0.42,5.91,2.64
20260601B02,最高落札価格（TSO別）[円/kW・30分],6,15,15,15,2.79,14.49,1.56,1.07,14.5,15
20260601B02,最低落札価格（TSO別）[円/kW・30分],0.57,0.57,0.39,0.51,0.48,0.39,0.39,0.38,0.48,0.38
20260601B02,平均落札価格（TSO別）[円/kW・30分],1.78,4.18,4.35,5.22,0.83,1.62,0.96,0.42,3.77,2.64
20260601B02,落札量合計（TSO別）[MW],234,233.346,214.35,85.824,79,406.003,224.292,86,343.722,1906.537
20260601B02,（内訳）自エリアからの落札量[MW],159,132.346,214.35,85.824,0,257.585,159.302,86,192.898,1287.305
20260601B03,募集量（TSO別）[MW],237,321,450,110,90,412,220,86,321,2247
20260601B03,応札量合計（電源属地別）[MW],319.858,532.346,734.74,558.972,0,257.585,178.92,254.473,423.698,3260.592
20260601B03,落札量合計（電源属地別）[MW],162,172.346,414.747,478.083,0,257.585,166.125,86,194.405,1931.291
20260601B03,応札件数（電源属地別）[件],9,8,48,28,0,12,10,10,30,155
20260601B03,落札件数（電源属地別）[件],2,8,41,28,0,12,8,5,30,134
20260601B03,最高落札価格（電源属地別）[円/kW・30分],1.01,15,15,15,0,14.49,14.49,1.07,14.16,15
20260601B03,最低落札価格（電源属地別）[円/kW・30分],0.91,4.01,0.39,0.43,0,0.39,0.39,0.38,2.71,0.38
20260601B03,平均落札価格（電源属地別）[円/kW・30分],1.01,6.98,2.52,1.9,0,2.01,1.64,0.42,5.9,2.74
20260601B03,最高落札価格（TSO別）[円/kW・30分],6.36,15,15,15,3.42,14.49,1.56,1.07,14.49,15
20260601B03,最低落札価格（TSO別）[円/kW・30分],0.57,0.57,0.39,0.43,0.43,0.39,0.39,0.38,0.43,0.38
20260601B03,平均落札価格（TSO別）[円/kW・30分],1.83,4.33,4.24,6.63,1.31,1.47,0.99,0.42,3.74,2.74
20260601B03,落札量合計（TSO別）[MW],237,233.346,219.75,101.672,79,404.003,225.52,86,345,1931.291
20260601B03,（内訳）自エリアからの落札量[MW],162,132.346,219.75,101.672,0,217.585,159.53,86,194.405,1273.288
20260601B04,募集量（TSO別）[MW],237,321,450,108,90,404,220,86,319,2235
20260601B04,応札量合計（電源属地別）[MW],274.458,532.346,1160.774,671.672,0,257.585,206.271,254.473,423.687,3781.266
20260601B04,落札量合計（電源属地別）[MW],162,172.346,333.849,639.589,0,257.585,170.195,86,184.815,2006.379
20260601B04,応札件数（電源属地別）[件],8,8,56,27,0,12,11,10,32,164
20260601B04,落札件数（電源属地別）[件],1,8,48,27,0,12,8,5,25,134
20260601B04,最高落札価格（電源属地別）[円/kW・30分],1.01,15,15,15,0,14.49,12.62,1.07,13.32,15
20260601B04,最低落札価格（電源属地別）[円/kW・30分],1.01,4.01,0.39,0.4,0,0.39,0.39,0.38,2.52,0.38
20260601B04,平均落札価格（電源属地別）[円/kW・30分],1.01,6.98,3.25,1.47,0,2,1.36,0.42,5.41,2.58
20260601B04,最高落札価格（TSO別）[円/kW・30分],6.36,15,15,15,0.42,14.49,1.56,1.07,13.32,15
20260601B04,最低落札価格（TSO別）[円/kW・30分],0.4,0.4,0.39,0.4,0.4,0.39,0.39,0.38,0.4,0.38
20260601B04,平均落札価格（TSO別）[円/kW・30分],1.81,4.27,3.47,6.73,0.41,1.56,0.78,0.42,3.34,2.58
20260601B04,落札量合計（TSO別）[MW],237,233.346,309.358,99.672,78,400.003,220,86,343,2006.379
20260601B04,（内訳）自エリアからの落札量[MW],162,132.346,309.358,99.672,0,257.585,154.01,86,184.815,1385.786
20260601B05,募集量（TSO別）[MW],236,316,448,88,90,376,218,84,313,2169
20260601B05,応札量合計（電源属地別）[MW],307.958,532.346,958.92,777.77,0,255.587,180.895,252.473,417.687,3683.636
20260601B05,落札量合計（電源属地別）[MW],161.392,172.346,248.817,756.687,0,118.686,166.109,84,193.418,1901.455
20260601B05,応札件数（電源属地別）[件],8,8,49,22,0,11,11,10,32,151
20260601B05,落札件数（電源属地別）[件],1,8,40,22,0,11,8,5,30,125
20260601B05,最高落札価格（電源属地別）[円/kW・30分],1.01,15,15,15,0,12.5,12.62,1.07,14,15
20260601B05,最低落札価格（電源属地別）[円/kW・30分],1.01,4.01,0.39,0.7,0,0.39,0.39,0.38,2.99,0.38
20260601B05,平均落札価格（電源属地別）[円/kW・30分],1.01,6.98,3.49,1.42,0,3.48,1.53,0.42,5.94,2.72
20260601B05,最高落札価格（TSO別）[円/kW・30分],6.36,15,15,15,1.89,12.5,1.56,1.07,14,15
20260601B05,最低落札価格（TSO別）[円/kW・30分],0.72,0.72,0.39,0.7,0.7,0.39,0.39,0.38,0.7,0.38
20260601B05,平均落札価格（TSO別）[円/kW・30分],1.86,4.54,3.49,6.85,1.2,1.69,1.01,0.42,3.93,2.72
20260601B05,落札量合計（TSO別）[MW],236,228.346,248.817,68.77,79,397.005,223.517,84,336,1901.455
20260601B05,（内訳）自エリアからの落札量[MW],161.392,132.346,248.817,68.77,0,118.686,159.527,84,193.418,1166.956
20260601B06,募集量（TSO別）[MW],232,313,447,77,90,352,218,84,304,2117
20260601B06,応札量合計（電源属地別）[MW],332.558,530.35,1281.898,781.77,0,253.737,180.981,252.473,408.687,4022.454
20260601B06,落札量合計（電源属地別）[MW],157,170.35,573.232,765.687,0,116.836,166.109,43,193.332,2185.546
20260601B06,応札件数（電源属地別）[件],8,7,52,22,0,10,11,10,31,151
20260601B06,落札件数（電源属地別）[件],1,7,42,22,0,10,8,4,30,124
20260601B06,最高落札価格（電源属地別）[円/kW・30分],1.06,15,15,15,0,14.29,12.62,1.07,14,15
20260601B06,最低落札価格（電源属地別）[円/kW・30分],1.06,4.01,0.39,0.66,0,0.39,0.39,0.38,3.14,0.38
20260601B06,平均落札価格（電源属地別）[円/kW・30分],1.06,6.84,3.81,1.39,0,3.78,1.53,0.46,5.95,2.95
20260601B06,最高落札価格（TSO別）[円/kW・30分],6.3,15,15,14.8,15,15,12.62,1.07,14,15
20260601B06,最低落札価格（TSO別）[円/kW・30分],1.06,3.97,0.39,0.66,0.68,0.39,0.39,0.38,0.66,0.38
20260601B06,平均落札価格（TSO別）[円/kW・30分],2.39,5.76,3.76,1.89,1.9,2.15,1.22,0.57,3.92,2.95
20260601B06,落札量合計（TSO別）[MW],232,223.35,445.232,166.874,84.846,398.813,223.431,84,327,2185.546
20260601B06,（内訳）自エリアからの落札量[MW],157,130.35,445.232,166.874,0,116.836,159.441,43,193.332,1412.065
20260601B07,募集量（TSO別）[MW],239,316,446,71,93,331,225,83,302,2106
20260601B07,応札量合計（電源属地別）[MW],327.558,532.346,1405.927,791.784,0,255.805,114.876,251.473,402.444,4082.213
20260601B07,落札量合計（電源属地別）[MW],164,172.346,816.764,780.701,0,118.904,114.876,45,195.444,2408.035
20260601B07,応札件数（電源属地別）[件],10,8,56,27,0,11,11,9,29,161
20260601B07,落札件数（電源属地別）[件],2,8,46,27,0,11,11,2,29,136
20260601B07,最高落札価格（電源属地別）[円/kW・30分],1.03,15,15,15,0,14.49,14.5,0.38,15,15
20260601B07,最低落札価格（電源属地別）[円/kW・30分],0.93,4.01,0.39,0.62,0,0.39,1.16,0.38,3.28,0.38
20260601B07,平均落札価格（電源属地別）[円/kW・30分],1.03,6.92,2.73,1.51,0,3.91,3.2,0.38,6,2.82
20260601B07,最高落札価格（TSO別）[円/kW・30分],6.29,15,15,14.49,15,14.75,14.5,0.64,15,15
20260601B07,最低落札価格（TSO別）[円/kW・30分],0.75,0.75,0.39,0.62,0.64,0.39,0.64,0.38,0.62,0.38
20260601B07,平均落札価格（TSO別）[円/kW・30分],1.85,5.32,2.82,0.98,3.74,2.6,2.17,0.49,3.87,2.82
20260601B07,落札量合計（TSO別）[MW],239,227.346,686.764,207.502,98.506,345.607,194.866,83,325.444,2408.035
20260601B07,（内訳）自エリアからの落札量[MW],164,132.346,686.764,207.502,0,118.904,107.866,45,195.444,1657.826
20260601B08,募集量（TSO別）[MW],254,324,447,77,96,326,233,82,306,2145
20260601B08,応札量合計（電源属地別）[MW],420.758,532.346,1592.913,791.784,0,218.341,114.876,250.473,407.444,4328.935
20260601B08,落札量合計（電源属地別）[MW],179,172.346,920.005,771.701,0,118.904,114.876,46,182,2504.832
20260601B08,応札件数（電源属地別）[件],12,8,54,27,0,11,11,9,31,163
20260601B08,落札件数（電源属地別）[件],2,8,43,27,0,11,11,2,6,110
20260601B08,最高落札価格（電源属地別）[円/kW・30分],3.13,15,15,15,0,14.49,14.5,0.38,4.9,15
20260601B08,最低落札価格（電源属地別）[円/kW・30分],1.01,4.01,0.39,0.55,0,0.39,1.16,0.38,3.23,0.38
20260601B08,平均落札価格（電源属地別）[円/kW・30分],1.02,6.93,2.74,1.43,0,3.92,3.2,0.38,4.65,2.67
20260601B08,最高落札価格（TSO別）[円/kW・30分],6.3,15,15,15,15,15,14.5,0.69,4.9,15
20260601B08,最低落札価格（TSO別）[円/kW・30分],1.01,1.19,0.39,0.55,0.57,0.39,0.55,0.38,0.55,0.38
20260601B08,平均落札価格（TSO別）[円/kW・30分],2.09,4.84,2.84,2.36,1.58,2.33,2,0.49,2.99,2.67
20260601B08,落札量合計（TSO別）[MW],254,238.346,779.005,217.06,83.578,334.977,209.866,82,306,2504.832
20260601B08,（内訳）自エリアからの落札量[MW],179,121.346,779.005,217.06,0,118.904,114.876,46,182,1758.191
20260601B09,募集量（TSO別）[MW],278,336,448,99,100,331,253,88,327,2260
20260601B09,応札量合計（電源属地別）[MW],487.858,532.346,1987.029,791.784,0,161.307,247.577,256.473,431.272,4895.646
20260601B09,落札量合計（電源属地別）[MW],203,172.346,1300.631,778.701,0,105.754,167.265,47,172.745,2947.442
20260601B09,応札件数（電源属地別）[件],11,8,61,27,0,11,15,9,33,175
20260601B09,落札件数（電源属地別）[件],4,8,49,27,0,11,5,2,6,112
20260601B09,最高落札価格（電源属地別）[円/kW・30分],5.16,15,15,15,0,14.49,1.56,0.38,4.82,15
20260601B09,最低落札価格（電源属地別）[円/kW・30分],1.01,4.01,0.39,0.5,0,0.39,0.39,0.38,3.21,0.38
20260601B09,平均落札価格（電源属地別）[円/kW・30分],1.45,6.94,2.43,1.35,0,3.4,0.89,0.38,4.53,2.38
20260601B09,最高落札価格（TSO別）[円/kW・30分],6.31,15,15,15,14.49,15,1.56,0.52,4.82,15
20260601B09,最低落札価格（TSO別）[円/kW・30分],0.94,0.94,0.39,0.5,0.52,0.39,0.39,0.38,0.5,0.38
20260601B09,平均落札価格（TSO別）[円/kW・30分],2.39,4.34,2.54,1.45,2.62,2.31,0.76,0.45,2.65,2.38
20260601B09,落札量合計（TSO別）[MW],278,245.346,1152.631,181.723,91.858,329.884,253,88,327,2947.442
20260601B09,（内訳）自エリアからの落札量[MW],203,116.346,1152.631,181.723,0,105.754,157.01,47,172.745,2136.209
20260601B10,募集量（TSO別）[MW],283,340,449,103,100,331,261,89,332,2288
20260601B10,応札量合計（電源属地別）[MW],506.458,532.346,1678.271,639.784,0,222.142,114.876,257.473,432.783,4384.133
20260601B10,落札量合計（電源属地別）[MW],208,172.346,1097.991,628.701,0,129.055,114.876,89,184,2623.969
20260601B10,応札件数（電源属地別）[件],11,8,57,27,0,12,11,9,31,166
20260601B10,落札件数（電源属地別）[件],2,8,47,27,0,12,11,3,6,116
20260601B10,最高落札価格（電源属地別）[円/kW・30分],3.26,15,15,15,0,14.88,14.5,0.38,4.81,15
20260601B10,最低落札価格（電源属地別）[円/kW・30分],1.01,4.01,0.39,0.45,0,0.39,1.08,0.38,3.37,0.38
20260601B10,平均落札価格（電源属地別）[円/kW・30分],1.02,6.64,2.33,1.47,0,3.11,3.14,0.38,4.65,2.48
20260601B10,最高落札価格（TSO別）[円/kW・30分],5.94,15,15,15,2.31,14.88,14.5,0.38,4.81,15
20260601B10,最低落札価格（TSO別）[円/kW・30分],1.01,0.77,0.39,0.46,0.46,0.39,0.45,0.38,0.45,0.38
20260601B10,平均落札価格（TSO別）[円/kW・30分],2.06,4.34,2.35,6.81,0.91,1.55,1.75,0.38,2.78,2.48
20260601B10,落札量合計（TSO別）[MW],283,265.346,929.991,94.784,78,313.982,237.866,89,332,2623.969
20260601B10,（内訳）自エリアからの落札量[MW],208,149.346,929.991,94.784,0,129.055,114.876,89,184,1899.052
20260601B11,募集量（TSO別）[MW],283,340,449,103,100,331,261,89,332,2288
